SKU ID,Category,Brand,Product Name,Size,Unnamed: 5,Variants,Distribution Area,Distributor Price (Ctn),Distributor Price (Pcs),Consumer Price (Ctn),Consumer Price (Pcs),Pcs per Ctn,MOQ,Product Picture
FMCG015,Cokelat dan Permen,Tobelo,Toki -1 Cokelat Blok,5 gr,Tobelo Toki -1 Cokelat Blok - 5 gr,,Jabodetabek,"67,500",338,"100,000",500,200,500,https://drive.google.com/file/d/1E-e_S992OxV0-m9ZjrCPd2fEj5T0xY2B/view?usp=drive_link
FMCG015,Cokelat dan Permen,Tobelo,Toki -1 Frutta,5 gr,Tobelo Toki -1 Frutta - 5 gr,,Jabodetabek,"67,500",338,"100,000",500,200,500,https://drive.google.com/file/d/1E-e_S992OxV0-m9ZjrCPd2fEj5T0xY2B/view?usp=drive_link
FMCG015,Cokelat dan Permen,Tobelo,Tobelo Choco lolly,5 gr,Tobelo Tobelo Choco lolly - 5 gr,Chocolate,Jabodetabek,"75,600",630,"120,000","1,000",120,500,https://drive.google.com/file/d/1v7c-1EYJNhJU947mF6dK6HnVoHTfapE7/view?usp=drive_link
FMCG015,Cokelat dan Permen,Tobelo,Tobelo Choco lolly,5 gr,Tobelo Tobelo Choco lolly - 5 gr,Mangga,Jabodetabek,"75,600",630,"120,000","1,000",120,500,https://drive.google.com/file/d/1v7c-1EYJNhJU947mF6dK6HnVoHTfapE7/view?usp=drive_link
FMCG015,Cokelat dan Permen,Tobelo,Tobelo Choco lolly,5 gr,Tobelo Tobelo Choco lolly - 5 gr,Strawberry,Jabodetabek,"75,600",630,"120,000","1,000",120,500,https://drive.google.com/file/d/1v7c-1EYJNhJU947mF6dK6HnVoHTfapE7/view?usp=drive_link
FMCG015,Cokelat dan Permen,Tobelo,Tobelo Golden Ball,5 gr,Tobelo Tobelo Golden Ball - 5 gr,,Jawa Barat,"86,277",359,"120,000",500,240,500,https://drive.google.com/file/d/1k1LC5eMPgmYgIYiiC9OETEUYEGhPHKCM/view?usp=drive_link
FMCG015,Cokelat dan Permen,Tobelo,Tobelo Long Stick Jar,5 gr,Tobelo Tobelo Long Stick Jar - 5 gr,,Jawa Barat,"94,542",315,"150,000",500,300,500,https://drive.google.com/file/d/16gZR-LIdTrIq7sE5zoY6PusEkd0BG8Of/view?usp=drive_link
FMCG015,Cokelat dan Permen,Tobelo,Tobelo Pop Kress Mix,5 gr,Tobelo Tobelo Pop Kress Mix - 5 gr,,Jawa Barat,"67,500",338,"100,000",500,200,500,https://drive.google.com/file/d/1oLAHfAk8cHoxso_LNvtazK4WMKJ-QdGv/view?usp=drive_link
FMCG015,Cokelat dan Permen,Tobelo,Tobelo Choco toss,5 gr,Tobelo Tobelo Choco toss - 5 gr,,Jawa Barat,"77,760",324,"120,000",500,240,500,https://drive.google.com/file/d/1iEnoQI6iEXnryOe_tlbM5L2Ne6RVLTMW/view?usp=drive_link
FMCG015,Cokelat dan Permen,Tobelo,Tobelo Moonlight ( Bag ),10 gr,Tobelo Tobelo Moonlight ( Bag ) - 10 gr,,Jawa Barat,"75,600",630,"120,000","1,000",120,500,https://drive.google.com/file/d/17aMSKWrBchM4RTIlzbjR7iIUe44d5ypN/view?usp=drive_link
FMCG015,Cokelat dan Permen,Tobelo,Toki -1 Cokelat Blok,5 gr,Tobelo Toki -1 Cokelat Blok - 5 gr,,Jawa Barat,"67,500",338,"100,000",500,200,500,https://drive.google.com/file/d/11f7-_ft0HzzpZ-i4QEAp2rbtIaN2oKWR/view?usp=drive_link
FMCG015,Cokelat dan Permen,Tobelo,Toki -1 Frutta,5 gr,Tobelo Toki -1 Frutta - 5 gr,,Jawa Barat,"67,500",338,"100,000",500,200,500,https://drive.google.com/file/d/1C2bYq_PtSo_tpKXltv34tL6M75TcS2DC/view?usp=drive_link
FMCG015,Cokelat dan Permen,Tobelo,Tobelo Choco lolly,5 gr,Tobelo Tobelo Choco lolly - 5 gr,Chocolate,Jawa Barat,"75,600",630,"120,000","1,000",120,500,https://drive.google.com/file/d/1v7c-1EYJNhJU947mF6dK6HnVoHTfapE7/view?usp=drive_link
FMCG015,Cokelat dan Permen,Tobelo,Tobelo Choco lolly,5 gr,Tobelo Tobelo Choco lolly - 5 gr,Mangga,Jawa Barat,"75,600",630,"120,000","1,000",120,500,https://drive.google.com/file/d/1v7c-1EYJNhJU947mF6dK6HnVoHTfapE7/view?usp=drive_link
FMCG015,Cokelat dan Permen,Tobelo,Tobelo Choco lolly,5 gr,Tobelo Tobelo Choco lolly - 5 gr,Strawberry,Jawa Barat,"75,600",630,"120,000","1,000",120,500,https://drive.google.com/file/d/1v7c-1EYJNhJU947mF6dK6HnVoHTfapE7/view?usp=drive_link
FMCG015,Cokelat dan Permen,Tobelo,Tobelo Golden Ball,5 gr,Tobelo Tobelo Golden Ball - 5 gr,,Jawa Timur,"86,277",359,"120,000",500,240,500,https://drive.google.com/file/d/1k1LC5eMPgmYgIYiiC9OETEUYEGhPHKCM/view?usp=drive_link
FMCG015,Cokelat dan Permen,Tobelo,Tobelo Long Stick Jar,5 gr,Tobelo Tobelo Long Stick Jar - 5 gr,,Jawa Timur,"94,542",315,"150,000",500,300,500,https://drive.google.com/file/d/16gZR-LIdTrIq7sE5zoY6PusEkd0BG8Of/view?usp=drive_link
FMCG015,Cokelat dan Permen,Tobelo,Tobelo Pop Kress Mix,5 gr,Tobelo Tobelo Pop Kress Mix - 5 gr,,Jawa Timur,"67,500",338,"100,000",500,200,500,https://drive.google.com/file/d/1oLAHfAk8cHoxso_LNvtazK4WMKJ-QdGv/view?usp=drive_link
FMCG015,Cokelat dan Permen,Tobelo,Tobelo Choco toss,5 gr,Tobelo Tobelo Choco toss - 5 gr,,Jawa Timur,"77,760",324,"120,000",500,240,500,https://drive.google.com/file/d/1iEnoQI6iEXnryOe_tlbM5L2Ne6RVLTMW/view?usp=drive_link
FMCG015,Cokelat dan Permen,Tobelo,Tobelo Moonlight ( Bag ),10 gr,Tobelo Tobelo Moonlight ( Bag ) - 10 gr,,Jawa Timur,"75,600",630,"120,000","1,000",120,500,https://drive.google.com/file/d/17aMSKWrBchM4RTIlzbjR7iIUe44d5ypN/view?usp=drive_link
FMCG015,Cokelat dan Permen,Tobelo,Toki -1 Cokelat Blok,5 gr,Tobelo Toki -1 Cokelat Blok - 5 gr,,Jawa Timur,"67,500",338,"100,000",500,200,500,https://drive.google.com/file/d/11f7-_ft0HzzpZ-i4QEAp2rbtIaN2oKWR/view?usp=drive_link
FMCG015,Cokelat dan Permen,Tobelo,Toki -1 Frutta,5 gr,Tobelo Toki -1 Frutta - 5 gr,,Jawa Timur,"67,500",338,"100,000",500,200,500,https://drive.google.com/file/d/1C2bYq_PtSo_tpKXltv34tL6M75TcS2DC/view?usp=drive_link
FMCG015,Cokelat dan Permen,Tobelo,Tobelo Choco lolly,5 gr,Tobelo Tobelo Choco lolly - 5 gr,Chocolate,Jawa Timur,"75,600",630,"120,000","1,000",120,500,https://drive.google.com/file/d/1v7c-1EYJNhJU947mF6dK6HnVoHTfapE7/view?usp=drive_link
FMCG015,Cokelat dan Permen,Tobelo,Tobelo Choco lolly,5 gr,Tobelo Tobelo Choco lolly - 5 gr,Mangga,Jawa Timur,"75,600",630,"120,000","1,000",120,500,https://drive.google.com/file/d/1v7c-1EYJNhJU947mF6dK6HnVoHTfapE7/view?usp=drive_link
FMCG015,Cokelat dan Permen,Tobelo,Tobelo Choco lolly,5 gr,Tobelo Tobelo Choco lolly - 5 gr,Strawberry,Jawa Timur,"75,600",630,"120,000","1,000",120,500,https://drive.google.com/file/d/1v7c-1EYJNhJU947mF6dK6HnVoHTfapE7/view?usp=drive_link
FMCG016,Minuman,Pesbuk,Permen Serbuk,8 ml,Pesbuk Permen Serbuk - 8 ml,,Jabodetabek,"86,400",600,"144,000","1,000",144,200,https://drive.google.com/file/d/1ImfRgLkwGXKT-8oAnccqHZlXQqXxJQNY/view?usp=drive_link
FMCG016,Minuman,Pesbuk,Permen Serbuk,8 ml,Pesbuk Permen Serbuk - 8 ml,,Jawa Barat,"86,400",600,"144,000","1,000",144,200,https://drive.google.com/file/d/1ImfRgLkwGXKT-8oAnccqHZlXQqXxJQNY/view?usp=drive_link
